stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0,0,0,0,0,1.13,0.85,0,0,0,0,0,1.41,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0.37,0,0,0,0,0,0.74,0,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0.74,13.69,0,0,0,0
3Month,0.1,0.42,4.37,0,0.21,0.1,0.83,1.77,0,6.24,2.18,0.42,3.22,0.62,1.87,1.35,1.77,0.42,0,0.31,0.31,0.83,0.21,0.31,0.1,0,0.1,1.87,228.84,0.62,1.77,10.61,1.77
22Month,0,0,1.64,0,0.27,0.14,0.14,0.14,0,4.24,0,0.14,0.68,0,0.41,0.68,0.41,0.14,0.14,0.14,0,0.27,0.14,0.68,0,1.78,0,0,39.22,0.14,0,0,0.27
