stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,1.13,0,2.82,0.28,2.54,0,0.56,0,0,0,0.28,0,1.13,4.23,0.28,5.07,0,0.28,0.28,377.68,29.59,0.28,0,3.95,0,0,1.69,0.56,0.28,0,0,0,0
21Day,1.48,0.74,0,2.96,0.37,4.44,0,0.74,0,0,0.37,9.25,0,0.37,1.48,0.74,2.22,0,0,1.11,94.72,11.84,0,0.37,1.11,1.48,0.37,0.74,0.37,0.74,0.74,0,0,0.37
3Month,0,0,0,0.94,0,0,0.1,0.1,0.1,1.35,0.1,2.91,0.31,0.1,0.42,0.94,0.21,0.1,0,0.1,1.77,0.1,0,0,0,0,3.12,0.21,0,0,0.21,0.1,1.14,0
22Month,0,0.27,0.14,0.41,0,0,0.14,0.27,0.14,2.46,0.14,1.78,0.55,0,0.27,0.41,0.27,0,0,0,1.37,0,0,0,0.14,0,4.65,0.55,0,0,0,0,0,0
