stage,Granulocyte,Granulosa_cell,Mesenchymal_cell,Mt_rich_cell,Oocyte,Osteoblast
72hpf,0,0,3.95,0,0,1.97
21Day,0,0,0.37,0,0,1.11
22Month,0.41,0.14,0.14,0.14,6.01,0
