stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,5,0,27,0,0,0,0,0,0,0,0,0,5,26,0,34,0,0,0,6,88,0,0,0,2,0,0,0,0,1,0,0
72hpf,5.36,5.07,0,9.02,3.95,1.41,0,0,0.28,0,0,0,0,2.54,20.29,0,16.91,0,0,0,96.39,40.87,0,0.28,0,10.15,0,0,3.66,0,9.02,0,0
21Day,1.48,2.96,0.37,13.69,1.85,2.96,0,0.37,0.37,0,0,0,0.37,0,4.44,0,24.42,0,0.37,0,41.07,25.16,0.37,0,0,9.62,4.44,0,2.59,1.11,0,0,0
3Month,0,3.12,0.21,6.14,0,0,0.1,8.43,0.1,0.1,1.25,0.42,0.42,0.94,9.36,0.31,5.1,0.31,0.31,0.52,0.94,0.52,0.42,0.1,0,0,0.21,1.98,0.42,0,0.52,0.1,0.31
22Month,0,1.78,0,3.28,0,0,0,1.5,0,14.62,2.87,0.14,0.68,0.14,0.82,0.14,1.91,0.14,0.14,0,0.55,0,0.14,0,0.27,0,0,2.6,0.55,0,0.14,0,0.14
