stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,5.64,70.18,0.28,0.28,0.56,0,0,6.48,3.1,0.56,0,1.69,1.13,0,0.28,0,0,0.28,0,0,0
21Day,1.11,0,0,81.77,0.37,2.22,0,0.37,0.37,0,0,0,0,1.11,0,12.21,38.85,2.22,0.74,0,0.37,0,2.59,1.11,0.37,0,1.11,0.74,0,0,0.37,0.74,0,0,0,0.74
3Month,0.1,0.1,0.1,28.6,0,0,0,0,0.52,0.31,0,1.56,0.31,0,1.14,15.6,2.7,1.35,0.42,0,0.21,0.31,0.62,0,0.62,0.1,0,0.31,0.62,0,0,0,0,0.21,0.83,0.62
22Month,0,0.27,0.27,5.88,0,0,0.14,0,0.14,0,0,1.78,0.27,0,0,2.19,0.68,1.09,0.27,0,0,0,0.14,0,0.41,0,0,0,0.82,0,0,0,0,0,0,0.27
