stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,0.56,0,0.56,0.56,0.85,0,0,0,0,0,0,0,0,0,0.28,1.97,0.28,0.85,0,0,0,146.28,2.54,0.28,0,0,1.69,0,0,0,1.13,18.6,10.15,0.56,0,0,0
21Day,1.85,0,0.37,3.33,0,1.11,0,0,0,0,0,0.74,0,0.37,0.37,0.37,2.59,0,2.96,0,0,0,34.41,2.96,0,0,0,0.74,1.11,0,1.11,0.74,40.7,134.68,0.74,0,0,1.85
3Month,0,0.21,0.1,3.02,0,0,0,0.1,0.21,0.31,0,4.06,0.94,0.1,1.46,0.31,0.83,0.73,0.73,0,0.21,0.31,0.94,0.1,0.62,0,0,0,0.42,0.1,36.41,0.1,0.62,0.31,0.1,0.31,35.16,0.42
22Month,0.14,0.68,0,2.19,0,0,0.14,0,0.27,0.41,0.41,18.17,0.41,0.14,0.55,0,0.68,0.96,1.09,0.27,0.27,0,0.96,0,1.64,1.37,0.14,0.14,0,0,13.25,0,15.44,0.14,0.14,0,0.68,0.27
