stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,13.81,0.56,0,0,0.56,0.28,0,0,20.57,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.74,0,1.48,0,0,0.37,23.31,0.74,0,1.11,0,0,0,0,1.11,0,0,0
3Month,0,0.73,1.04,0,0.1,0,0.1,0.31,0,2.39,0.21,0,0.94,0.1,0.42,0.21,0.73,0.21,0,0.21,1.35,0,1.56,0.1,0,0.1,3.64,0,0,0.1,1.35,0.94
22Month,0.14,1.37,0.96,0,0,0.14,0.14,0.14,0.14,7.93,0.14,0.27,1.5,0.14,0.27,0.68,0.55,0,0.68,0.14,0.41,0,1.91,0,0,0.14,1.23,0.27,0,0,0,0.55
