stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.44,0,0.37,0,0.37,0,0,0.37,0,0,1.11,1.85,0.37,8.51,0,0.74,0,0,0,0.37,0,0,0,0.37
3Month,0.1,2.7,0.1,0.1,0,15.08,1.04,3.12,0,0.62,0.21,0.52,1.46,0.1,2.5,0.42,0,0,0,0,0,0.1,0.31,0.21,0.1
22Month,0.14,4.1,0.68,0,0.14,38.4,4.51,3.14,0.68,0.41,0.14,0.41,7.93,0.55,3.42,0,0.14,0,0.27,0.14,0,0.14,0.14,0.14,0.14
