stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,6.66,0,0.37,0,0,0.37,0,0.74,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,0.31,0.42,2.18,0.31,0,0.83,0.83,0,150.72,0.52,0,2.7,0.52,1.46,0.31,0.94,0.21,0.21,0.62,0.83,0,0,0.21,0.21,1.66,0.52,0,0.31,0.73,1.14
22Month,0.14,0.41,0,0.96,0.68,0,0.14,0.14,0.27,191.45,0.14,0.14,0.68,0,0,0.82,0.41,0,5.19,0.27,0,0,0,0.27,0.55,0.14,0,0.14,0,0,0.14
