stage,Epithelial_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,6,1,10,0,0,5,0,0,0
72hpf,0,0.56,2.25,0,0.28,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0.1,0.21
