stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,13,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,2,239,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,1.13,0,0,0,1.69,5.07,0,9.86,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0.37,3.33,1.48,10.73,0.74,0,0.37,0.37,0,0,0,0
3Month,0,0.31,3.85,2.91,0,0,3.43,0.1,0.1,0.94,0.21,0.52,0,0.42,0,4.06,0.1,0,0.1,0,0,0.62,0,0,1.35,0,0,0,0,0.31,0.21
22Month,0,0,16.4,1.37,0,0.14,2.05,0.14,0.27,2.46,0,0.82,0.14,0,0.41,2.05,0.14,0.14,0,0,0,0.96,0,0,0.41,0,0,0,0.14,0,0.14
