stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.52,0.31,0.31,0.21,0.42,0.1,0.21,0.1,0.1,2.18,0.52,0.42
