stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,9.58,0.56,0,0.28,0.28,0,0.28,0,0,0
21Day,0.37,0,0.37,0,0,0,0.37,0.37,0,7.4,0,0,0.74,0,0.37,0,0.37,0,0.37
3Month,0,0.1,0.31,0.62,0.1,0.1,0,0.21,0.1,0.21,0,0,0.1,0,0,0,0,0.1,0.1
22Month,0.14,0,0.14,3.14,0.14,0.27,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0
