stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,4,1,21,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0.56,0.85,1.13,9.58,4.79,0.28,0.85,0,0.56,0,0,0
21Day,0,1.85,1.11,0,0,0,0,0,0.74,2.96,0.74,0,0.74,0,0,0,0,0.37
3Month,0.1,0.83,0,0.21,0.21,0.1,0,0.21,0.42,0,0.1,0,0,0.62,0,0.1,0.42,0.1
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
