stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,18,2,0,0,0,0
72hpf,0.85,0,0.28,0,0,0,0,0,0,0.28,0,2.54,0,0,0,0,0.28,2.25,0.28,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0,0,0.37,4.07,0,0,0,0.74,0,1.85,0,0.37,0,0
3Month,0,0.1,0.21,0.1,0.1,0.73,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0.14,0,0.14,2.32,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0
