stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell
72hpf,0,0,0,0,0.28,0,0.85
21Day,0,0,0,0,0,0,0.74
3Month,0.1,0,0,0,0,0.1,0
22Month,0,0.14,0.68,0.14,0.14,0.14,0
