stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,2.25,0,0,0,0,0,0,0,0.28,0,0.56,2.82,0,1.69,0,0,0,0,1.69,1.13,0,0,0.85,0,0,0.28,0,0,0,0
21Day,1.85,0,6.66,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0.74,2.96,0,0,0,0,1.85,0,0,0,0.74,0.37,0,0,0,0,0,0
3Month,0,0.31,7.18,0,0.21,0.42,0.21,0,1.46,0.42,0,0.62,0.31,0.94,0.94,4.68,0.42,0,0.31,0.1,0.21,0.1,0.1,0.1,0.1,0,2.08,0.1,0.1,0.42,0.62,0.1
22Month,0,0.41,0.96,0,0,0.41,0.14,0,1.91,0,0.14,0.14,0,0.14,0.55,0.68,0,0.55,0.27,0,0,0,0,0.14,0,0,0,0,0.14,0.14,0,0
