stage,Endothelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,0.56,0.28,0
3Month,0.1,0.42,0,0,0.1
22Month,0,0.41,0,0,0
