stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0.37,0,0,0,0.74,0.37,0.37,0,0
3Month,0.73,0.52,0.21,0,0.1,0.21,0.1,0,0,0,0,10.92,0,4.16,0.21
22Month,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
