stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0.56,0.56,0,0.56,0,0,1.69,0.56,0.56,0,0,0,0,0,0
21Day,0.37,0,1.11,0,1.11,0.74,0,0,0,0,0,0,0.37,0.74,0,0,0.37,0,0.74,0,0,0.37,0,0,0
3Month,0,0.31,1.35,0,0,0,0.42,1.56,0.21,0.94,0,0.31,0.1,0.1,0,0.1,0,0,0,0.1,3.22,0,0.31,0.21,0.1
22Month,0,0,0.14,0,0,0,0.14,1.09,0,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0
