stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,16,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.85,0,0.56,0.85,0,0,0,0,0.28,0,0.56,0.85,0,2.54,0,0,0.28,7.89,6.48,0.28,0,1.69,0.28,1.13,0,0,0.28,0,0
21Day,1.85,0,5.92,0,1.48,0.37,0,0,0,1.48,0,0.37,1.11,5.55,8.51,0,0,0.74,3.7,2.59,0.37,0.74,0.74,0.37,0.74,0.37,0.37,0,0.37,1.11
3Month,0,0.1,0.42,0,0,0,0.62,0.52,0.42,0,0.1,0.1,0,0.1,0.52,0.21,0,0,0.1,0,0,0,0,8.53,0,0,0,0,5.3,0.21
22Month,0,0.27,0.27,0,0,0,0.82,1.5,0.27,0.14,0.27,0,0,0.14,0.55,0,0.14,0.14,0,0,0,0.14,0,0.96,0,0,0,0,0.14,0.27
