stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0.28,0,2.25,0,0.28,0,0
21Day,0.37,0.37,0,0,0,0.74,0.37,1.11,0,0.74,0.74,0.37
22Month,0,0.14,0.68,0.14,0.14,0.27,0,0,0,0,0,0
