stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,3,0,0,19,2,2,0,0,0,0,1,0,0,0,0,0,5,6,13,0,0,3,43,0,0,3,0,0,0,1
72hpf,0.56,0.28,0,2.54,0.85,0,0,0,0,0,0,0,0,0,0,3.1,5.64,0,1.97,1.41,0,3.1,2.25,0,0,1.69,1.41,0,0.28,0.28
21Day,0,0,0.37,12.21,0.37,1.11,0,0,0,0,0,0.74,0,0.37,1.85,1.11,4.81,0.37,1.85,0,0.74,1.11,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0,0,0,0.31,0,0,0,0,0,0,0,0.94,0.1,0,0.42,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0,2.32,0,0,0.14,0.41,0.27,1.64,0,11.75,0,0,3.69,0,0.68,0.14,0.27,0.41,0.27,0.14,0.14,0.14,0,0,0,0.27,0.14,0
