stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,2,0,0,0,0,4,20,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,5.36,0.28,0.28,0,0,0,0.28,1.41,1.97,0.28,0,0,0.85,0,0.28,0
21Day,0,0,3.33,0,0,0,0,0.74,0.37,0,0,0.74,0.37,1.11,1.11,0,3.7,1.85,1.48,0,0,0.74,0,2.22,1.48,0.74,0,0,1.11,0.37,0.37,2.22
3Month,0,0.31,2.5,0,0,0.21,0,0.1,0.83,0,0,4.06,1.46,0,1.56,0,0.62,0.83,0.94,0.31,0,0.31,0.1,0.31,0,0,0.21,0,0,0,0,1.14
22Month,0.14,0.27,0.68,0,0,0,0.14,0.55,0.55,0.14,0,3.96,0.68,0.14,3.55,0.14,0,0.55,0.68,0.14,0.14,0,0,0.14,0.14,0,0,0.27,0,0,0,0.27
