stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,1,3,0,0,5,0,1,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,1.13,0,0.56,0.28,6.48,1.13,0,0.56,0,0.28,0.28,0.28,0,0
21Day,0.37,0.37,0,2.22,0.74,0,0.37,0.37,0,2.59,0.74,0.37,0,0.74,0,0,0,0,0.37
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
