stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0.37,0,0,0.74,0,2.59,0,0.74,0,0,0,0,0.37,0,0,0.74
3Month,0.42,0,0,0,0,0.21,0,0.1,0.1,0,0,0,0,0,0.21,0.1,0.1
22Month,0.27,0,0.96,1.5,0,0.27,0.14,1.09,0,0.14,0,0,0.14,0,0,0,0
