stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0.56,0,0,1.69,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,8.51,0,12.21,0,0,0,0,0.37,0.37,0,0.37,0,1.11,0,0,0,0,0.37,0,0.37,0.37,0,0
3Month,0,0,0.1,0,1.87,0.94,0,0.21,0,0.52,0.1,0.1,0.1,0.1,0.21,0,0,0,0,0,0,0.31,0,0,0.1,0.21
22Month,0,0.14,0.27,0,0.82,0.96,0.55,1.5,0.41,0.14,0,0.14,0.14,0.82,0,0,0,0.14,0.14,0,0,0,0,0,0,0
