stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,11,7,0,29,1,3,0,0,0,0,0,2,0,0,0,0,6,14,17,29,0,0,0,2,16,3659,1,0,3,1,0,2,0,0,3,0,0
72hpf,56.09,3.95,0,19.17,7.05,28.18,0,0,0,0.28,0,0,0.28,0,0.28,0,4.51,62.57,5.64,38.33,0,0.28,0.56,0.56,294.53,1957.43,0.85,3.1,43.4,0.56,0,345.55,1.41,0.28,4.79,0,0
21Day,11.47,0,0.37,8.51,0.74,11.47,0,1.48,0,0,0,0,1.85,0.37,2.22,2.22,1.11,7.4,1.48,8.88,0,0.37,2.22,0,30.34,431.03,0,0.74,4.07,9.99,0,45.88,2.22,4.07,1.48,0,3.33
3Month,0.31,0,0,1.56,0,0,0,0,0,0.31,0,0,0.31,0.21,0,0.31,0.1,0.42,0.1,0.21,0.1,0,0,0,0.52,2.7,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0
22Month,0,0.14,0,1.5,0.27,0,0.14,0.14,0.14,0.68,62.45,0,23.91,0.41,0.27,1.23,0,0.41,1.09,1.64,0,0.41,0.14,0,0.27,0.68,0.14,0.14,0.14,0,0.14,0.41,0,0,0,0,0.27
