stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Retinal_cell
72hpf,0,0,0,0,0,0.85,0,0
21Day,0,0,0,0,0,0.37,0,0
3Month,0.21,0.1,0,0.1,0,0.42,0.1,0
22Month,0.82,0,0.14,0,0.14,0,0,0.14
