stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
72hpf,0.56,0.28,0.85,0.28,0.28,0,0.56,0.85,0,2.82,0.28,7.33,7.05,0.85,0,0.28,0.56
21Day,0.74,0.37,1.11,0,0.37,0.37,0,0.74,0.37,2.96,0,1.85,1.85,1.48,0.74,0,0
