stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,3.7,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0
3Month,0,0.1,0.1,0.1,0.1,0.31,0.1,0.1,0.1,0.1,0.1,0,0,1.35,0,0,3.74,0.1
22Month,0,0,0,0,0,0.68,0.14,0,0,0,0.14,0.14,0,0.41,0.14,0,0,0.14
