stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.85,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,7.77,0.37,0,0.37,0,0,0.37,0,0,0,0,2.96,0,1.48,0,0,1.48,0,0,1.11,0,1.11,0.37,0,0,0.37,0,0,0,0
3Month,1.56,3.95,0,0.1,0.42,0.1,0,5.3,0.83,0.1,2.7,0.1,2.5,0.52,1.98,0.21,0,0.31,0.31,0.21,0,0.42,0,0.21,0.1,0.52,0,0,0.1,0.21,0.1
22Month,6.15,2.6,0,0,0.55,0,0.96,14.35,0.27,0.14,3.28,0,1.23,0.41,2.73,0,0.27,0.41,0,0,0,0.14,0,0,0,0.27,0,0.14,0,0,0.27
