stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,1,0,0,1,2,0,2,0,0,0,15,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0.56,0,0.28,3.66,0,1.13,3.38,0,0.28,0.28,0,0,1.69,0.28,0,0,0
21Day,1.11,0,0,0.74,0,0,0,0,0,0,0,2.22,0.37,0,0.37,0,0,0.74,0.37,0,0,0.74,0.74,0,0,0
3Month,0,0.1,0,0.73,0,0,0.21,0,0,6.97,0.21,0,0.1,0,0.21,0.1,0.1,0,0,0.1,0,0,0.73,1.46,0.1,0.1
22Month,0.14,0.55,0.27,1.37,0.14,0.41,0.41,0.27,0,9.02,0.41,0.14,0,0.55,1.5,0.55,0.14,0,0,0,13.8,0,0.14,1.23,0,0.14
