stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,29,0,0,0,1,5,0,0,0,0,0,1,0,22,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,0.56,6.76,0.85,735.91,0,9.02,0,0.28,0,0,0,0.28,0,0.85,6.48,0.56,5.07,0,0.28,0.56,0.28,25.37,11.56,0.28,0,4.23,0,0,1.41,3.1,0.28,0,0,0,0
21Day,7.4,0.74,20.35,0.74,1338.61,0,277.49,0.74,1.11,0,4.44,1.85,5.18,2.96,2.96,10.73,5.55,19.61,0,0,4.44,0.37,23.68,12.58,0.37,0.74,5.92,22.57,0,1.11,3.7,14.8,0,0.37,0,4.81
3Month,0.1,0.42,2.08,0,0,24.65,12.27,0.52,0.62,0,1.77,0.62,0.52,0.52,0,0.83,0.94,1.25,0.21,0,2.39,1.56,0,0,0.21,0.31,0,0,2.6,0,0,0,0.1,0.31,0.62,0.21
22Month,0.14,0.68,0.41,0,0,15.17,4.78,0,1.09,0,5.47,0.82,0.14,0.41,0.14,0,0.82,0.96,0,0.55,2.6,0.14,0.27,0.14,0.41,0.14,0.41,0.14,1.09,0.14,0,0,0,0.14,0,0.41
