stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0.28,1.13,0.56,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0,0.74,0,0,0,0.37,0.74,0,0,0,0.74,0,0.37,0,0,0,0,0
3Month,0,0.21,0.21,6.35,0.62,0.1,0.62,1.77,0.21,4.58,2.18,0,2.91,0.21,2.39,1.04,2.29,0.31,0.1,0.21,3.74,0.52,0,0.1,0.52,0,0.62,7.7,0,0.21,0.52,26.63,2.29
22Month,0.14,0,0,1.09,0,0,0.14,0.41,0.41,5.19,0,0.27,0.41,0,0,0.55,0.96,0,0.55,0.14,1.64,0.14,0,0.27,0,0,0.14,2.87,0,0,0,0.27,0.55
