stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,2,0,0,4,0,25,0,0,0
72hpf,0,0.28,0.28,0,0,3.1,2.25,0.28,0.28,0
21Day,0.37,0.37,0,0.37,0.37,0.37,1.85,1.11,0,0.74
