stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,7,0,0,0,0,0,0,1,1,1,0,0,0,10,0,0,0,0,1,0,0
72hpf,0.28,0,0.56,0.56,0,0,0,0,0,2.82,3.1,0,1.13,0,0.85,1.13,0,0.28,0,0,0,0,0
21Day,0.37,0,4.07,0,0.37,1.11,0,0.74,0,1.48,6.66,0.37,0.74,0.37,1.11,0,0,0,0.37,0,0,0,0.37
3Month,0,0.1,1.98,0,0,0.42,0.21,0,0.31,0.31,0.52,0,0.31,0,0.1,0,0.1,0,0,0.83,0,0.42,0.31
22Month,0,0,0.14,0,0,1.64,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
