stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0.28,0,0,0,0,0,0.28,0.85,0,3.38,0,0.28,2.54,10.15,0,0.28,0,0.28,0,0,0
21Day,1.11,0.37,4.07,0.37,0,0,0,0,0.37,0,0,1.11,0,6.66,0.74,0,0.74,1.85,0,4.07,0,0.37,0,0,0
3Month,0,0,0.62,0,0,0,0.1,0.1,0,0,0,0.21,0.1,0,0,0,0,0,0.1,0,4.99,0,0.1,0.94,0
22Month,0,0,0.55,0,0,0.27,1.5,0,0.14,0.14,0,0,0,0.41,0,0,0.14,0,0,0,3.28,0,0,0,0.14
