stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,1,1,0,0,0,1,0,0,1,0,1,0,1,13,0,0,0,0,6,62,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,3.1,0,0.56,0.56,0,12.68,5.36,0.56,0,1.69,0,0,1.13,0.28,0,0,0
21Day,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,7.03,0.37,0,0,0,6.29,2.96,0,0,2.59,0.74,2.22,1.48,0,0,0,0.74
3Month,0,0.1,0,2.08,0.1,0,0.1,0.21,0.21,0,0,5.1,0.62,0.1,1.04,0.31,0.73,0.73,0.83,0.1,0,0.1,0.21,0.31,0.1,0.21,0,0.21,0.42,27.77,0,0,0.1,73.85,0.52
22Month,0,0.14,0.27,0.82,0,0,0,0.27,0.41,0.41,0,5.74,0,0.14,0.55,0,0,0.55,0.27,0.14,0.55,0.14,0,0,0,0,10.39,0,0,18.99,0,0,0,0,0.27
