stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,3,0,1,0,0,0,0
72hpf,0.56,0,0.28,19.73,0.56,0.56,0.28,0,0,0
21Day,8.14,0,0,15.17,0,0,0,0.37,0,0
3Month,0.52,0.1,0,0,0,0,0,0,0.1,0.1
22Month,0,0.41,0,0,0,0,0,0,0,0
