stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,1.69,0.56,0.28,0,0
21Day,0.37,0,0.74,0.37,0,0,0,0,0,0.37,0,0.37,1.85,0,0,2.22,2.59,0,0,0.37
3Month,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.27,0,0.14,0,0.27,3.01,0.14,0,0.14,0,0,0.27,0.14,0,0,0,0.14,0
