stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0.28,0,0,0,0,0,0,0,0.85,11.84,0.28,0.28,0,1.41,0.85,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,25.9,0.37,1.48,0,0,0,0,0,0,0,0,0.37,4.81,28.86,0,2.22,0,2.96,0.37,0,1.11,1.48,0,0.37,0.74,0,0,0,0
3Month,0.21,0.21,0.1,20.18,0,0,0,0,0.21,0.42,0,1.46,0.73,0.1,1.77,14.15,0.83,0.21,0.52,0,1.25,0,0.1,0,0.31,0.62,0.1,0,0,0.1,4.16,0.42
22Month,0,0.14,0.27,2.6,0,0,0.14,0,0.27,1.64,0.27,7.52,0.96,0.41,4.24,0.96,0.41,0.55,0.68,0.41,0.14,0.14,0,0,0,0.55,0,0,0.14,0,0,0
