stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0
72hpf,0.28,0,0,0.28,1.13,0.28,0,0,0,0,0,2.25,1.69,1.13,0.28,0.28,0,0.56
21Day,0.74,0.37,1.11,0,3.7,0,0,0,0.37,1.11,0.37,0.37,1.11,0.74,0.74,0.37,0.37,0.37
3Month,0,0,0.21,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0
