stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0,2.6,0.21,0.1,0.21,0,0,25.59,0.31,0,1.35,0.1,0.21,0.31,0.73,0.31,0,0.21,0.21,0,0.1,0.73,0,0,0.73,1.66,0.31,0.31
22Month,0,0.41,0.41,0.82,0.14,0,0.14,1.37,0.41,102.9,0.55,0.14,1.09,0,0.14,0.55,0.55,0,1.23,0.41,0,0,0,0.27,0.14,0.41,0,0.14,0.41,0.41
