stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0.1,0.1,0.94,0.52,0.1,0.1,0.1,0,0.1,0,0,0.21,0.1
22Month,0.14,0,2.05,0.68,0,0,0,0.14,0,0,0.14,0.14,0
