stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,9,2,4,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.28,0.28,0,0,0,1.13,0,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0.37,0.74,8.14,0,0,0,0
3Month,0.31,0.21,0.42,18.31,0.21,0.21,0.1,7.59,2.6,0.1,0,16.33,2.81,0.52,3.43,2.29,3.02,3.74,2.81,0.52,0.21,0.83,3.43,1.14,0.1,0.73,0.21,0,0.1,3.02,464.12,0.52,1.56,45.25,1.66
22Month,0.14,0.68,0.27,2.32,0,0,0.14,3.28,1.37,0.96,0,29.79,0.14,0.41,1.09,0,0.14,0.41,1.37,0,0.27,0.14,0,0.14,0,0.14,0.14,1.23,0,0.14,74.2,0,0,0.14,0.27
