stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell
72hpf,0,0,0,0,2.25,0.28,1.41,0.28,0,0,0.28
21Day,2.22,0.74,0.37,0,1.11,2.59,3.33,0,0.37,0.37,0
22Month,0.14,0,0,0.27,0,0.27,0,0,0,0,0
