stage,Granulocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,T_cell
24hpf,0,2,0,0,0,0
72hpf,0,0,0.28,0.85,0.28,0
21Day,0.37,0,0.37,0,0,0
3Month,0.1,0,0,0,0,0.31
