stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,6,12,14,3,1,0,1,5,0,0,0,0,3,8,7,54,0,1,22,398,10,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,1.41,0,0,0,0,0,0,0,0,1.41,0,1.97,0,0,8.17,10.43,0.56,0,0,0,0,0,0,0
21Day,1.48,0,3.7,0,25.16,0,4.44,0,0.37,0,2.96,0,0,0.74,1.11,1.11,0,0,0.74,6.66,0.37,0.37,0,1.11,0.37,0.74,0,1.11
3Month,0.1,0,0.52,0,0,0,0,0,1.56,0.1,0.1,0.31,0,0.21,0.1,0.1,0,0.1,0,0,0,0,1.66,0,0,0,0.62,0.1
22Month,0,0,0,0,0,0.14,0,0,0,0.14,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0
