stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0.56,0,0,0,0,0,0,0.28,0.28,0,1.69,0,0.28,8.46,2.54,0,0.56,0,0,0.28,0.28,0,0
21Day,0,0,0.37,1.11,0.37,0,0,0,0,0,0,0,0,0.74,0,0,1.85,1.85,0.37,0.37,0,0,0.37,0,0,0
3Month,0,0.1,0.42,0,0,0.21,0,1.25,0,0.42,0.21,0.21,0.42,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0.1
22Month,0.14,0,0,0,0,0.55,0.14,1.37,0.27,0,0,0.14,0.14,0.41,0,0,0,0,0,0,0.14,0,0,0,0,0
