stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0.74,0,0
3Month,0.1,0.1,0,3.02,0.52,0.1,0,0.1,0.1,0,0,0.62,0,0.83,0.1
22Month,0.14,0,0.14,0.41,0.14,0,0.14,0,0,0,0,0.55,0,0,0
