stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0,0,0,7.33,2.54,0,0,0.56,0,0,0.56,0,0,0
21Day,0.74,0,0,2.22,0,0,0.37,0,0,0,0,0,0.74,0,0,2.59,0,1.48,0,0,0.74,0,1.48,0.74,0,0.37,0.37,0,0,0,0,0,0
3Month,0,4.78,0.42,17.16,0.1,0.1,0.42,1.66,2.91,0,6.35,1.14,0.31,1.35,9.47,6.45,2.39,1.46,0.31,0,0.42,7.8,0,0,0.52,0.31,0,0.62,1.87,0.1,0.21,0.83,1.35
22Month,0,13.53,0.41,27.88,0.27,0.55,1.37,2.05,3.14,1.37,26.92,1.37,3.14,4.24,4.78,2.05,5.6,10.8,0,0.68,0.82,1.5,0.55,0,1.64,0.68,0,0.27,0.82,0.41,0,0,1.23
