stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,1.41,0.28,0,0,0,0.28
21Day,0,0,0,0,0,0,1.11,0,0,0,0
3Month,0.31,0,0.1,0,0.1,0,0,0,0.1,0.62,0
22Month,0,0.14,0.14,0,0,0,0,0.14,0,0.82,0
