stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,1.11,0,0,0,0,0.74,0.37,0,0,0
3Month,0,0,0.73,0.1,0,0.31,0.1,0.52,0.1,0.31,0,0.1,0.1,0.1,0,0,0.1,0.1,0.21
22Month,0,0.14,0.41,0,0.14,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.27
