stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,31.29,1.69,0.28,0.28,0.28,0,0,0,0,0,0,0,0
21Day,1.48,0,0.37,0,1.11,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0,0,0,18.87,1.11,0,0.74,0.74,0,0.37,0.37,0.74,0,0,0,0
3Month,0,0,0.73,0,0,0.1,0,0.21,0.83,0.21,0,0.1,0.1,0,0.31,0.21,0.31,0,0.1,0.73,0,0.1,0.83,0,0.21,0.1,0,0,0.1,0,0.31,0
22Month,0,0.14,0.27,0,0,0,0.14,0,4.65,0.14,0.14,0.96,0,0.14,0.27,0.41,0,0.27,0.14,1.64,0.14,0.14,0.14,0,0.14,0.27,0,0,0,0.14,0,0.14
