stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0.28,0.85,0.28,0.56,0,0,8.17,1.13,0,0,0,0,0,0,0
21Day,0.37,0.37,0,1.11,0.37,0,0,0,0.37,0,0,0.37,0,1.11,0,0,3.7,0,0,0.37,0,0.74,0,0,0.37
3Month,0,0.1,0.1,0.42,0.73,0,0.83,0.73,0,0.42,0.21,0.21,0.52,0.31,0.1,0.1,0,0,0.1,0.1,0.1,8.74,0.1,0.73,0.1
22Month,0,0,0,0.14,0.14,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0.14,0,0
