stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0.68,1.91,0.14,0.27,0.14,1.09,4.1,0.14,4.65,0,0.27,1.09,2.6,0.55,0.41,0,0.55,0.14,0.41,0.14,0.41,0.27
