stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.85,0.56,0.85,0,0,0,0,0,0,0,0,0.28,1.97,0.28,1.41,0,0,131.34,8.17,0.28,0.56,2.54,0,0,0.85,0.56,0.28,0.28,0,0,0
21Day,0.37,0,0.37,0,1.85,0.37,0,0,0,0.74,0,0.37,0.37,0,0,0,0.37,0,0,39.22,5.55,0,0.74,0.37,1.85,0.74,0.74,0.37,1.11,0.37,0,0,0
3Month,0.21,0.1,0.62,0.1,0,0.1,0.42,0.21,0,4.26,0.62,0,0.94,0,0.52,0.42,1.04,0.1,0.21,0.83,0.1,1.87,0.83,0,0.52,37.13,0,0,0,0,0.1,45.25,0.21
22Month,0,0,0.14,0,0,0,0,0.14,0.14,1.09,0.14,0,0.41,0,0,0.14,0,0,0,0.27,0,0.41,0.41,0.14,0,6.56,0.14,0.14,0,0,0,0.41,0
