stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,1,0,1,0,0,3,0,34,0,0
72hpf,0,0,0,0.28,0,1.13,2.54,3.38,0.28,0.28
21Day,0,0.37,0.37,0,0.37,0.37,0.37,1.48,0.37,0.37
