stage,Cardiomyocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0,0,4.79,0,1.13,0,2.82,0,0
21Day,0.74,0.37,2.96,0,0.37,0.37,0.74,0,0.37
3Month,0,0,0.21,0.1,0,0,0,0.21,0
