stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0
3Month,0.1,0.1,0.21,0.1,0.21,0.21,0.21,0,2.91,0.21
22Month,0,0,0,0,0,0,0.41,0,0,0
