stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0.37,0,0,3.33,0.37,0,0,0,0.37,0,0,0
3Month,0.1,1.25,0.1,0.1,0.31,0,1.14,0.1,0,0.21,0.1,0.83,0.21,0.21,0.52,0,0,0.62,0.1,0.21
22Month,0.14,1.23,0.14,0,0.41,0.14,1.78,0,0,0.14,0,0.27,0,0,0,0,0,0,0,0
