stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0,0,0,0,0,0,0,0.28,0,0.28,7.89,1.69,0.56,0,0,0,0,2.82,0.85,0,0,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,9.62,0,0.37,0,0.37,0,0,0,1.48,0,0,9.62,4.81,1.85,0,0,0.74,0,1.48,0,0,0,0,0.74,0.37,0,0,0,0,0,0,0,2.22
3Month,0.21,1.25,4.16,77.91,0.62,0.52,15.71,8.84,0.1,35.37,12.79,1.35,75.1,6.24,17.16,46.6,5.72,1.77,0.1,5.72,3.95,1.35,0.52,4.06,0.62,0,0.21,1.66,0.1,14.46,0.1,0,0.1,1.56,1.56,20.91
22Month,0.27,5.88,8.06,37.58,1.5,0.82,10.8,24.19,3.14,103.44,13.66,4.65,102.62,0.82,6.97,30.61,9.98,0.27,5.88,5.47,0.41,0.55,0,3.55,0.82,0.14,0.14,0.41,0,7.11,0.55,0.41,0.14,0.55,0,11.89
