stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,37,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,0,0.56,0,0,0,0,0,0,0,0.28,0,0.56,1.41,0,1.69,0,0,9.3,5.36,0,0,2.54,0,0,0.56,0.28,0,0,0
21Day,1.11,0,0,4.07,0.37,1.11,0,0.74,0,0,0,0,0,1.11,0.74,0,1.48,0.74,4.07,0,0.37,2.96,2.22,0,0,1.85,0.74,0,0,0.74,0,0,0.37
3Month,0,0,0,1.77,0,0,0.21,0.1,0.42,0.21,0,6.03,0.21,0.21,0.52,0.1,0.62,0.83,0.42,0.21,0.1,0.1,0,0.1,0.1,0,0.21,2.39,0,0,0.21,6.87,0.31
22Month,0,0,0.14,0.14,0,0,0,0,0.14,0.14,0.14,4.92,0.14,0,0.27,0,0,0,0.82,0,0.14,0,0,0,0,0.14,0,1.23,0,0,0,0.14,0
